LAYER0,CL_00,PST01_01-45;PST01_01-48;90;96;PST01_01-97
LAYER0,CL_01,PST01_01-95;PST01_01-47;PST01_01-46;93;91
LAYER0,CL_02,192;PST01_01-107;PST01_01-53;210;PST01_01-92;PST01_01-98;180
LAYER0,CL_03,PST01_01-108;195;PST01_01-54;PST01_01-99;PST01_01-88;173;213
LAYER0,CL_04,84;78;PST01_01-42;PST01_01-39;PST01_01-106
LAYER0,CL_06,152;PST01_01-78;188;PST01_01-96;PST01_01-50
LAYER0,CL_07,217;PST01_01-110;PST01_01-56
LAYER0,CL_08,PST01_01-36;PST01_01-100;PST01_01-90;176;196
LAYER0,CL_09,PST01_01-109;215;PST01_01-49;PST01_01-101;199
LAYER0,CL_16,159;PST01_01-81;PST01_01-30
LAYER1,CL_05,75;CL_00;PST01_01-102;95;106;85;104;PST01_01-38;PST01_01-43;CL_02;89;CL_03
LAYER1,CL_10,CL_04;PST01_01-103;77
LAYER1,CL_11,80;PST01_01-104;PST01_01-40;111;CL_07
LAYER1,CL_12,197;CL_08;177;PST01_01-41
LAYER1,CL_14,PST01_01-62;CL_06;100
LAYER1,CL_17,97;PST01_01-82;CL_09
LAYER2,CL_13,194;CL_05;172;PST01_01-37
LAYER2,CL_15,CL_11
LAYER2,CL_18,CL_12
